,sentence_id,token_id,class,before,after
224,19,1,LETTERS,U.S.,u s
225,19,2,PLAIN,Decennial,Decennial
226,19,3,PLAIN,Census,Census
227,19,4,PUNCT,"""",""""
228,19,5,PUNCT,.,.
229,20,0,PLAIN,They,They
230,20,1,PLAIN,are,are
231,20,2,PLAIN,responsible,responsible
232,20,3,PLAIN,for,for
233,20,4,PLAIN,student,student
234,20,5,PLAIN,union,union
235,20,6,PLAIN,activity,activity
236,20,7,PLAIN,on,on
237,20,8,PLAIN,each,each
238,20,9,PLAIN,campus,campus
239,20,10,PUNCT,.,.
240,21,0,PLAIN,It,It
241,21,1,PLAIN,was,was
242,21,2,PLAIN,named,named
243,21,3,PLAIN,after,after
244,21,4,PLAIN,the,the
245,21,5,PLAIN,glass,glass
246,21,6,PLAIN,factory,factory
247,21,7,PLAIN,that,that
248,21,8,PLAIN,once,once
249,21,9,PLAIN,was,was
250,21,10,PLAIN,located,located
251,21,11,PLAIN,in,in
252,21,12,PLAIN,the,the
253,21,13,PLAIN,town,town
254,21,14,PUNCT,.,.
255,22,0,PLAIN,Retrieved,Retrieved
256,22,1,DATE,22 September 2015,the twenty second of september twenty fifteen
257,22,2,PUNCT,.,.
258,23,0,PUNCT,"""",""""
259,23,1,PLAIN,Lalah,Lalah
260,23,2,PLAIN,Hathaway,Hathaway
261,23,3,PLAIN,Stretches,Stretches
262,23,4,PLAIN,Her,Her
263,23,5,PLAIN,Musical,Musical
264,23,6,PLAIN,Canvas,Canvas
265,23,7,PLAIN,With,With
266,23,8,PLAIN,Her,Her
267,23,9,PLAIN,Stax,Stax
268,23,10,PLAIN,Records,Records
269,23,11,PLAIN,Debut,Debut
270,23,12,PUNCT,"""",""""
271,23,13,PLAIN,Self,Self
272,23,14,PLAIN,Portrait,Portrait
273,23,15,PUNCT,"""",""""
274,23,16,PUNCT,"""",""""
275,23,17,PUNCT,.,.
276,24,0,PLAIN,It,It
277,24,1,PLAIN,debuted,debuted
278,24,2,PLAIN,at,at
279,24,3,VERBATIM,#,number
280,24,4,CARDINAL,3,three
281,24,5,PLAIN,on,on
282,24,6,PLAIN,the,the
283,24,7,PLAIN,Gaon,Gaon
284,24,8,PLAIN,Singles,Singles
285,24,9,PLAIN,Chart,Chart
286,24,10,PUNCT,.,.
287,25,0,PLAIN,Tropical,Tropical
288,25,1,PLAIN,Depression,Depression
289,25,2,PLAIN,Two,Two
290,25,3,PLAIN,was,was
291,25,4,PLAIN,upgraded,upgraded
292,25,5,PLAIN,into,into
293,25,6,PLAIN,a,a
294,25,7,PLAIN,tropical,tropical
295,25,8,PLAIN,storm,storm
296,25,9,PLAIN,in,in
297,25,10,PLAIN,post,post
298,25,11,PLAIN,season,season
299,25,12,PLAIN,analysis,analysis
300,25,13,PUNCT,",",","
301,25,14,PLAIN,and,and
302,25,15,PLAIN,as,as
303,25,16,PLAIN,a,a
304,25,17,PLAIN,result,result
305,25,18,PLAIN,has,has
306,25,19,PLAIN,no,no
307,25,20,PLAIN,name,name
308,25,21,PUNCT,.,.
309,26,0,PUNCT,"""",""""
310,26,1,PLAIN,Loma,Loma
311,26,2,PLAIN,Prieta,Prieta
312,26,3,PLAIN,Announce,Announce
313,26,4,PUNCT,','
314,26,5,PLAIN,Self,Self
315,26,6,PLAIN,Portrait,Portrait
316,26,7,PUNCT,','
317,26,8,LETTERS,LP,l p
318,26,9,PLAIN,for,for
319,26,10,PLAIN,Deathwish,Deathwish
320,26,11,PLAIN,inc,inc
321,26,12,PUNCT,"""",""""
322,26,13,PUNCT,.,.
323,27,0,PLAIN,When,When
324,27,1,PLAIN,air,air
325,27,2,PLAIN,and,and
326,27,3,PLAIN,fluid,fluid
327,27,4,PLAIN,mix,mix
328,27,5,PLAIN,together,together
329,27,6,PLAIN,in,in
330,27,7,PLAIN,the,the
331,27,8,PLAIN,pericardial,pericardial
332,27,9,PLAIN,sac,sac
333,27,10,PUNCT,",",","
334,27,11,PLAIN,a,a
335,27,12,PLAIN,tinkling,tinkling
336,27,13,PLAIN,sound,sound
337,27,14,PLAIN,superimposed,superimposed
338,27,15,PLAIN,over,over
339,27,16,PLAIN,a,a
340,27,17,PLAIN,succussion,succussion
341,27,18,PLAIN,splash,splash
342,27,19,PLAIN,is,is
343,27,20,PLAIN,heard,heard
344,27,21,PUNCT,.,.
345,28,0,PLAIN,The,The
346,28,1,PLAIN,single,single
347,28,2,PLAIN,descriptive,descriptive
348,28,3,PLAIN,words,words
349,28,4,PLAIN,are,are
350,28,5,PLAIN,as,as
351,28,6,PLAIN,follows,follows
352,28,7,PUNCT,:,:
353,28,8,PLAIN,Excellent,Excellent
354,28,9,PUNCT,",",","
355,28,10,PLAIN,Very,Very
356,28,11,PLAIN,Good,Good
357,28,12,PUNCT,",",","
358,28,13,PLAIN,Good,Good
359,28,14,PUNCT,",",","
360,28,15,PLAIN,Fair,Fair
361,28,16,PUNCT,",",","
362,28,17,PLAIN,and,and
363,28,18,PLAIN,Poor,Poor
364,28,19,PUNCT,.,.
365,29,0,PLAIN,Retrieved,Retrieved
366,29,1,PLAIN,on,on
367,29,2,DATE,"November 4, 2014",november fourth twenty fourteen
368,29,3,PUNCT,.,.
369,30,0,PLAIN,She,She
370,30,1,PLAIN,received,received
371,30,2,PLAIN,her,her
372,30,3,PLAIN,law,law
373,30,4,PLAIN,degree,degree
374,30,5,PLAIN,from,from
375,30,6,PLAIN,the,the
376,30,7,PLAIN,University,University
377,30,8,PLAIN,of,of
378,30,9,PLAIN,Southern,Southern
379,30,10,PLAIN,California,California
380,30,11,PLAIN,in,in
381,30,12,DATE,1916,nineteen sixteen
382,30,13,PLAIN,and,and
383,30,14,PLAIN,an,an
384,30,15,PLAIN,LL,LL
385,30,16,PUNCT,.,.
386,30,17,PLAIN,M,M
387,30,18,PUNCT,.,.
388,30,19,PLAIN,a,a
389,30,20,PLAIN,year,year
390,30,21,PLAIN,later,later
391,30,22,PUNCT,.,.
392,31,0,PLAIN,Herry,Herry
393,31,1,PLAIN,was,was
394,31,2,PLAIN,born,born
395,31,3,PLAIN,in,in
396,31,4,PLAIN,Banda,Banda
397,31,5,LETTERS,Aceh,a c e h
398,31,6,PUNCT,",",","
399,31,7,LETTERS,Aceh,a c e h
400,31,8,PLAIN,from,from
401,31,9,PLAIN,a,a
402,31,10,PLAIN,Sundanese,Sundanese
403,31,11,PLAIN,descendant,descendant
404,31,12,PUNCT,.,.
405,32,0,PLAIN,He,He
406,32,1,PLAIN,urged,urged
407,32,2,PLAIN,all,all
408,32,3,PLAIN,political,political
409,32,4,PLAIN,parties,parties
410,32,5,PLAIN,to,to
411,32,6,PLAIN,protest,protest
412,32,7,PLAIN,the,the
413,32,8,PLAIN,Indian,Indian
414,32,9,PLAIN,project,project
415,32,10,PUNCT,.,.
416,33,0,PLAIN,He,He
417,33,1,PLAIN,helped,helped
418,33,2,PLAIN,his,his
419,33,3,PLAIN,club,club
420,33,4,PLAIN,to,to
421,33,5,PLAIN,be,be
422,33,6,PLAIN,champion,champion
423,33,7,PLAIN,of,of
424,33,8,PLAIN,Galatama,Galatama
425,33,9,PLAIN,for,for
426,33,10,CARDINAL,4,four
427,33,11,PLAIN,consecutive,consecutive
428,33,12,PLAIN,years,years
429,33,13,PUNCT,.,.
430,34,0,PLAIN,In,In
431,34,1,PLAIN,the,the
432,34,2,DATE,1982,nineteen eighty two
433,34,3,PLAIN,championship,championship
434,34,4,PUNCT,",",","
435,34,5,PLAIN,Brock,Brock
436,34,6,PLAIN,came,came
437,34,7,PLAIN,up,up
438,34,8,PLAIN,against,against
439,34,9,PLAIN,Jones,Jones
440,34,10,PLAIN,in,in
441,34,11,PLAIN,a,a
442,34,12,PLAIN,well,well
443,34,13,PLAIN,sorted,sorted
444,34,14,PUNCT,",",","
445,34,15,PLAIN,and,and
446,34,16,PLAIN,slightly,slightly
447,34,17,PLAIN,more,more
448,34,18,PLAIN,powerful,powerful
449,34,19,PLAIN,Porsche,Porsche
450,34,20,CARDINAL,935,nine hundred thirty five
451,34,21,PLAIN,turbo,turbo
452,34,22,PUNCT,.,.
453,35,0,PUNCT,"""",""""
454,35,1,PLAIN,LaBarque,LaBarque
455,35,2,PLAIN,Creek,Creek
456,35,3,PLAIN,Conservation,Conservation
457,35,4,PLAIN,Area,Area
458,35,5,PUNCT,(,(
459,35,6,PLAIN,map,map
460,35,7,PUNCT,),)
461,35,8,PUNCT,"""",""""
462,35,9,PUNCT,.,.
463,36,0,PLAIN,Retrieved,Retrieved
464,36,1,DATE,7 December 2015,the seventh of december twenty fifteen
465,36,2,PUNCT,.,.
466,37,0,PUNCT,"""",""""
467,37,1,PLAIN,Manga,Manga
468,37,2,PLAIN,Minis,Minis
469,37,3,PUNCT,",",","
470,37,4,DATE,11/17/09,november seventeenth o nine
471,37,5,PUNCT,"""",""""
472,37,6,PUNCT,.,.
473,38,0,PUNCT,"""",""""
474,38,1,PLAIN,The,The
475,38,2,PLAIN,Pines,Pines
476,38,3,PUNCT,(,(
477,38,4,CARDINAL,1065520,one million sixty five thousand five hundred twenty
478,38,5,PUNCT,),)
479,38,6,PUNCT,"""",""""
480,38,7,PUNCT,.,.
481,39,0,PLAIN,Chang,Chang
482,39,1,PLAIN,was,was
483,39,2,PLAIN,born,born
484,39,3,PLAIN,in,in
485,39,4,PLAIN,Canton,Canton
486,39,5,PUNCT,",",","
487,39,6,PLAIN,part,part
488,39,7,PLAIN,of,of
489,39,8,PLAIN,a,a
490,39,9,PLAIN,wealthy,wealthy
491,39,10,PLAIN,mercantile,mercantile
492,39,11,PLAIN,family,family
493,39,12,PLAIN,with,with
494,39,13,PLAIN,interests,interests
495,39,14,PLAIN,in,in
496,39,15,PLAIN,Hong,Hong
497,39,16,PLAIN,Kong,Kong
498,39,17,PLAIN,and,and
499,39,18,PLAIN,Shanghai,Shanghai
500,39,19,PUNCT,.,.
501,40,0,PLAIN,Mahwah,Mahwah
502,40,1,PUNCT,",",","
503,40,2,LETTERS,NJ,n j
504,40,3,PUNCT,:,:
505,40,4,PLAIN,Lawrence,Lawrence
506,40,5,PLAIN,Erlbaum,Erlbaum
507,40,6,PLAIN,Associates,Associates
508,40,7,PUNCT,",",","
509,40,8,PLAIN,publishersPremack,publishersPremack
510,40,9,PUNCT,",",","
511,40,10,PLAIN,David,David
512,40,11,PUNCT,.,.
513,41,0,DATE,"August 16, 2005",august sixteenth two thousand five
514,41,1,PUNCT,.,.
515,42,0,PLAIN,Francisca,Francisca
516,42,1,PLAIN,Josefa,Josefa
517,42,2,PLAIN,had,had
518,42,3,PLAIN,three,three
519,42,4,PLAIN,siblings,siblings
520,42,5,PLAIN,whose,whose
521,42,6,PLAIN,names,names
522,42,7,PLAIN,were,were
523,42,8,PLAIN,Catalina,Catalina
524,42,9,PLAIN,and,and
525,42,10,PLAIN,Pedro,Pedro
526,42,11,PLAIN,Antonio,Antonio
527,42,12,PLAIN,Diego,Diego
528,42,13,PUNCT,.,.
529,43,0,PLAIN,The,The
530,43,1,PLAIN,naturally,naturally
531,43,2,PLAIN,occurring,occurring
532,43,3,PLAIN,mineral,mineral
533,43,4,PLAIN,anglesite,anglesite
534,43,5,PUNCT,",",","
535,43,6,PLAIN,PbSO4,lead two sulphate
536,43,7,PUNCT,",",","
537,43,8,PLAIN,occurs,occurs
538,43,9,PLAIN,as,as
539,43,10,PLAIN,an,an
540,43,11,PLAIN,oxidation,oxidation
541,43,12,PLAIN,product,product
542,43,13,PLAIN,of,of
543,43,14,PLAIN,primary,primary
544,43,15,PLAIN,lead,lead
545,43,16,PLAIN,sulfide,sulfide
546,43,17,PLAIN,ore,ore
547,43,18,PUNCT,",",","
548,43,19,PLAIN,galena,galena
549,43,20,PUNCT,.,.
550,44,0,PLAIN,Thus,Thus
551,44,1,PUNCT,",",","
552,44,2,PLAIN,during,during
553,44,3,PLAIN,the,the
554,44,4,PLAIN,years,years
555,44,5,DATE,1573,fifteen seventy three
556,44,6,PLAIN,-,to
557,44,7,DATE,1595,fifteen ninety five
558,44,8,PLAIN,they,they
559,44,9,PLAIN,rebuilt,rebuilt
560,44,10,PLAIN,the,the
561,44,11,PLAIN,old,old
562,44,12,PLAIN,castle,castle
563,44,13,PUNCT,",",","
564,44,14,PLAIN,just,just
565,44,15,PLAIN,like,like
566,44,16,PLAIN,many,many
567,44,17,PLAIN,other,other
568,44,18,PLAIN,castles,castles
569,44,19,PLAIN,throughout,throughout
570,44,20,PLAIN,the,the
571,44,21,PLAIN,island,island
572,44,22,PUNCT,.,.
573,45,0,PLAIN,Henry,Henry
574,45,1,PLAIN,moved,moved
575,45,2,PLAIN,in,in
576,45,3,PLAIN,with,with
577,45,4,PLAIN,Young,Young
578,45,5,PLAIN,at,at
579,45,6,PLAIN,Carrigoona,Carrigoona
580,45,7,PLAIN,Cottage,Cottage
581,45,8,PLAIN,in,in
582,45,9,DATE,1929,nineteen twenty nine
583,45,10,PUNCT,",",","
584,45,11,PLAIN,building,building
585,45,12,PLAIN,a,a
586,45,13,PLAIN,studio,studio
587,45,14,PLAIN,there,there
588,45,15,PUNCT,.,.
589,46,0,PLAIN,Caribbean,Caribbean
590,46,1,PLAIN,E,E
591,46,2,PLAIN,Magazine,Magazine
592,46,3,PUNCT,.,.
593,47,0,PLAIN,Martha,Martha
594,47,1,PLAIN,is,is
595,47,2,PLAIN,concerned,concerned
596,47,3,PUNCT,",",","
597,47,4,PLAIN,as,as
598,47,5,PLAIN,the,the
599,47,6,PLAIN,Doctor,Doctor
600,47,7,PLAIN,did,did
601,47,8,PLAIN,not,not
602,47,9,PLAIN,instruct,instruct
603,47,10,PLAIN,her,her
604,47,11,PLAIN,on,on
605,47,12,PLAIN,what,what
606,47,13,PLAIN,to,to
607,47,14,PLAIN,do,do
608,47,15,PLAIN,should,should
609,47,16,PLAIN,he,he
610,47,17,PLAIN,fall,fall
611,47,18,PLAIN,in,in
612,47,19,PLAIN,love,love
613,47,20,PUNCT,.,.
614,48,0,PLAIN,The,The
615,48,1,PLAIN,line,line
616,48,2,PLAIN,will,will
617,48,3,PLAIN,be,be
618,48,4,PLAIN,underground,underground
619,48,5,PLAIN,from,from
620,48,6,PLAIN,north,north
621,48,7,PLAIN,to,to
622,48,8,PLAIN,south,south
623,48,9,PUNCT,",",","
624,48,10,PLAIN,serving,serving
625,48,11,PLAIN,a,a
626,48,12,PLAIN,section,section
627,48,13,PLAIN,of,of
628,48,14,PLAIN,the,the
629,48,15,PLAIN,city,city
630,48,16,PLAIN,with,with
631,48,17,PLAIN,high,high
632,48,18,PLAIN,ridership,ridership
633,48,19,PLAIN,potential,potential
634,48,20,PUNCT,.,.
635,49,0,PLAIN,Young,Young
636,49,1,PLAIN,went,went
637,49,2,PLAIN,on,on
638,49,3,PLAIN,to,to
639,49,4,PLAIN,hold,hold
640,49,5,PLAIN,her,her
641,49,6,PLAIN,first,first
642,49,7,PLAIN,solo,solo
643,49,8,PLAIN,exhibition,exhibition
644,49,9,PLAIN,in,in
645,49,10,DATE,1933,nineteen thirty three
646,49,11,PLAIN,at,at
647,49,12,PLAIN,the,the
648,49,13,PLAIN,Country,Country
649,49,14,PLAIN,Shop,Shop
650,49,15,PUNCT,",",","
651,49,16,PLAIN,st,saint
652,49,17,PLAIN,Stephen's,Stephen's
653,49,18,PLAIN,Green,Green
654,49,19,PUNCT,",",","
655,49,20,PLAIN,Dublin,Dublin
656,49,21,PUNCT,.,.
657,50,0,PUNCT,"""",""""
658,50,1,PLAIN,Coming,Coming
659,50,2,PLAIN,to,to
660,50,3,PLAIN,a,a
661,50,4,PLAIN,Networked,Networked
662,50,5,PLAIN,Device,Device
663,50,6,PLAIN,Near,Near
664,50,7,PLAIN,You,You
665,50,8,PUNCT,:,:
666,50,9,PLAIN,Cyberwar,Cyberwar
667,50,10,PUNCT,!,!
668,50,11,PUNCT,"""",""""
669,51,0,PLAIN,Retrieved,Retrieved
670,51,1,DATE,3 February 2016,the third of february twenty sixteen
671,51,2,PUNCT,.,.
672,52,0,PLAIN,Arthur,Arthur
673,52,1,PLAIN,Greville,Greville
674,52,2,PLAIN,Collins,Collins
675,52,3,PUNCT,(,(
676,52,4,PLAIN,born,born
677,52,5,DATE,"September 5, 1895",september fifth eighteen ninety five
678,52,6,PUNCT,",",","
679,52,7,PLAIN,date,date
680,52,8,PLAIN,of,of
681,52,9,PLAIN,death,death
682,52,10,PLAIN,unknown,unknown
683,52,11,PUNCT,),)
684,52,12,PUNCT,",",","
685,52,13,PLAIN,was,was
686,52,14,PLAIN,a,a
687,52,15,PLAIN,British,British
688,52,16,PLAIN,born,born
689,52,17,PLAIN,film,film
690,52,18,PLAIN,director,director
691,52,19,PUNCT,.,.
692,53,0,PLAIN,It,It
693,53,1,PLAIN,is,is
694,53,2,PLAIN,strongly,strongly
695,53,3,PLAIN,implied,implied
696,53,4,PLAIN,that,that
697,53,5,PLAIN,she,she
698,53,6,PLAIN,will,will
699,53,7,PLAIN,become,become
700,53,8,PLAIN,the,the
701,53,9,PLAIN,next,next
702,53,10,PLAIN,Gammer,Gammer
703,53,11,PUNCT,",",","
704,53,12,PLAIN,seeing,seeing
705,53,13,PLAIN,as,as
706,53,14,PLAIN,she,she
707,53,15,PLAIN,has,has
708,53,16,PLAIN,a,a
709,53,17,PLAIN,lot,lot
710,53,18,PLAIN,of,of
711,53,19,PLAIN,dwimmer,dwimmer
712,53,20,PUNCT,.,.
713,54,0,PLAIN,The,The
714,54,1,PLAIN,song,song
715,54,2,PLAIN,reached,reached
716,54,3,PLAIN,number,number
717,54,4,CARDINAL,9,nine
718,54,5,PLAIN,on,on
719,54,6,PLAIN,the,the
720,54,7,PLAIN,Billboard,Billboard
721,54,8,PLAIN,Hot,Hot
722,54,9,PLAIN,Country,Country
723,54,10,PLAIN,Singles,Singles
724,54,11,VERBATIM,&,and
725,54,12,PLAIN,Tracks,Tracks
726,54,13,PLAIN,chart,chart
727,54,14,PUNCT,.,.
728,55,0,PUNCT,"""",""""
729,55,1,PLAIN,How,How
730,55,2,PLAIN,plants,plants
731,55,3,PLAIN,tell,tell
732,55,4,PLAIN,the,the
733,55,5,PLAIN,time,time
734,55,6,PUNCT,"""",""""
735,55,7,PUNCT,.,.
736,56,0,PLAIN,It,It
737,56,1,PLAIN,is,is
738,56,2,PLAIN,led,led
739,56,3,PLAIN,by,by
740,56,4,PLAIN,the,the
741,56,5,PLAIN,incumbent,incumbent
742,56,6,PLAIN,mayor,mayor
743,56,7,PLAIN,of,of
744,56,8,LETTERS,Lviv,l v i v
745,56,9,PUNCT,",",","
746,56,10,PLAIN,Andriy,Andriy
747,56,11,PLAIN,Sadovyi,Sadovyi
748,56,12,PUNCT,.,.
749,57,0,PLAIN,It,It
750,57,1,PLAIN,was,was
751,57,2,PLAIN,founded,founded
752,57,3,PLAIN,on,on
753,57,4,DATE,"December 29, 2012",december twenty ninth twenty twelve
754,57,5,PUNCT,",",","
755,57,6,PLAIN,and,and
756,57,7,PLAIN,identifies,identifies
757,57,8,PLAIN,with,with
758,57,9,PLAIN,the,the
759,57,10,PLAIN,ideology,ideology
760,57,11,PLAIN,of,of
761,57,12,PUNCT,"""",""""
762,57,13,PLAIN,Christian,Christian
763,57,14,PLAIN,morality,morality
764,57,15,PLAIN,and,and
765,57,16,PLAIN,common,common
766,57,17,PLAIN,sense,sense
767,57,18,PUNCT,.,.
768,57,19,PUNCT,"""",""""
769,58,0,PLAIN,The,The
770,58,1,PLAIN,Standard,Standard
771,58,2,PLAIN,Catalog,Catalog
772,58,3,PLAIN,of,of
773,58,4,PLAIN,American,American
774,58,5,PLAIN,Cars,Cars
